label,address,category,eth_balance
TopHolder #001,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,TopHolder,181885.04004522698
TopHolder #002,0xcffad3200574698b78f32232aa9d63eabd290703,TopHolder,49134.77778508267
TopHolder #003,0xa7b3bcc6c88da2856867d29f11c67c3a85634882,TopHolder,0.0
TopHolder #004,0x543842cbfef3b3f5614b2153c28936967218a0e6,TopHolder,0.0
TopHolder #005,0xe333e366503f620e0242796431dc74fffd258e66,TopHolder,0.0
TopHolder #006,0x7b73644935b8e68019ac6356c40661e1bc315860,TopHolder,0.0
TopHolder #007,0xafcd96e580138cfa2332c632e66308eacd45c5da,TopHolder,196707.45074413548
TopHolder #008,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,TopHolder,1.5237168380752277
TopHolder #009,0xd6216fc19db775df9774a6e33526131da7d19a2c,TopHolder,64959.36460523014
TopHolder #010,0xb34efc63526430c8bc5f764ad805419c54fd672e,TopHolder,0.001041171161925976
TopHolder #011,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,TopHolder,584999.0469369626
TopHolder #012,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,TopHolder,107.44344693612186
TopHolder #013,0x9642b23ed1e01df1092b92641051881a322f5d4e,TopHolder,1869.950249143924
TopHolder #014,0x2933782b5a8d72f2754103d1489614f29bfa4625,TopHolder,33901.23578259349
TopHolder #015,0x9efe7414d991769282b8c27bb2e53b7a34f60bc2,TopHolder,0.0
TopHolder #016,0x9142ba11bb93fc68224dd45b82af1692444be6f0,TopHolder,0.0
TopHolder #017,0x716e4950fe898033ea9b73b5077b1b2b9e6814b2,TopHolder,0.0
TopHolder #018,0xc451fcc094ad0f80b3e2f663f70a012e8d353d55,TopHolder,0.0
TopHolder #019,0x21373fe5efd0942774256e6d4c3e8cb488c975e6,TopHolder,0.0
TopHolder #020,0xd4c70d7eb45ce4248aaf0c418b4d2b28bdbc9e66,TopHolder,0.0
TopHolder #021,0x406394021a212479b7a8483ef721d38b32612a3e,TopHolder,0.0
TopHolder #022,0x8b3d80d99095155ff3d255965b9abaae382ad848,TopHolder,0.0
TopHolder #023,0xab915c817d03a655259ddb6285431b7726c88c02,TopHolder,0.0
TopHolder #024,0x446b86a33e2a438f569b15855189e3da28d027ba,TopHolder,16856.96
TopHolder #025,0x0eeeeb7ae10c10f82f34f796b9ccf6066cce1421,TopHolder,0.14339122765239945
TopHolder #026,0x381fe4eb128db1621647ca00965da3f9e09f4fac,TopHolder,0.0
TopHolder #027,0xafedf06777839d59eed3163cc3e0a5057b514399,TopHolder,16157.984063867738
TopHolder #028,0xfeeb95db1dfe968b8f9f56d0b71438048d3ddabc,TopHolder,95.03933131379948
TopHolder #029,0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,TopHolder,13515.95
TopHolder #030,0x6819f6892296de4f8d9bf22d6ec31623a974c68e,TopHolder,0.009369597686071212
TopHolder #031,0x0b07f64abc342b68aec57c0936e4b6fd4452967e,TopHolder,13982.943396324972
TopHolder #032,0x35f57f1173453eb3d12c2af8db61b11819267bd9,TopHolder,0.33978123221989265
TopHolder #033,0xfe844ddd675e1a3865070cbc10b3a331b82e2eb1,TopHolder,0.0
TopHolder #034,0x80f016574ccc725c27782f3f528558a9df4ae2e5,TopHolder,0.58
TopHolder #035,0xc3dcd744db3f114f0edf03682b807b78a227bf74,TopHolder,798.0568014473391
TopHolder #036,0x4fb312915b779b1339388e14b6d079741ca83128,TopHolder,2506.1447498141847
TopHolder #037,0x24eb3a39856723138796c5068a17ba4fb15cd25e,TopHolder,8156.887928681309
TopHolder #038,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,TopHolder,126.75515329508845
TopHolder #039,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,TopHolder,0.0
TopHolder #040,0x18709e89bd403f470088abdacebe86cc60dda12e,TopHolder,2.8069039693258415
TopHolder #041,0x72a53cdbbcc1b9efa39c834a540550e23463aacb,TopHolder,427.30371234506
TopHolder #042,0x82138a24a7717473a2abb29f396e530e076c01fe,TopHolder,0.002139602367813443
TopHolder #043,0xa6455a399dac5dc09ed80681895528f59790130e,TopHolder,0.6749264881135659
TopHolder #044,0xaafb3c1ea5bbf8a8bb5c22ec74f55fd3fdc9816c,TopHolder,0.007388448702681768
TopHolder #045,0xdb7a988a0b5fd5c9371a9654813e8ab28896877b,TopHolder,0.0
TopHolder #046,0xf35d30901f85fb97835c0309586a9170342b0b8e,TopHolder,0.002160791760570474
TopHolder #047,0x36a26a0cd97c1f0c05f89a945a4fde58affbaa61,TopHolder,0.0
TopHolder #048,0x63791a4664e3904baf9c3d90654d35536d553e30,TopHolder,0.054892943449510075
TopHolder #049,0xb3034f89fa917ddaf6867833a2aa5c300e0c68fa,TopHolder,179.09807015125378
TopHolder #050,0x7ae0bf7a97ff68cde5325aede607d9f1373baf72,TopHolder,5.1274033479869e-05
TopHolder #051,0xdbdeb3e2891f61c963fdb0067afc587cc9099bbb,TopHolder,0.0748864040105891
TopHolder #052,0xa5cce4bac0cc0851e8b0841110b49e67c13a76ea,TopHolder,0.0
TopHolder #053,0x1c44041fb062385da5ee3b8ef29561e6ff0e37b1,TopHolder,0.23031896375075117
TopHolder #054,0x67b3d4e002143283c0d0bf67429a89921f14ad8e,TopHolder,0.06909407346273783
TopHolder #055,0x6cdf94520d00ef13b9b56f3815107b9529b8957b,TopHolder,0.001212905470533714
TopHolder #056,0xc669135ba22df58c08bfc544c85e541fd821ace5,TopHolder,30.112098064704547
TopHolder #057,0x350bb2ab7795f5dcb078024f5ffe3c3d2ac181eb,TopHolder,0.495374889582644
TopHolder #058,0xfae789b20e32635c7656582a40a4bd05f484812d,TopHolder,2.006138599174647
TopHolder #059,0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705,TopHolder,6927.588686985529
TopHolder #060,0x17c98f22c4477a2762faf2d1b1ecf5734c645559,TopHolder,234.19259495215724
TopHolder #061,0xb1f0ee6fda084cfc333eabb89a5459173f7a7fac,TopHolder,0.10177253864605068
TopHolder #062,0xd290d11de499d364be82bf6eb308e377142180d1,TopHolder,139.85892670989625
TopHolder #063,0xf7a0b15f08bde575cb75d86d54531d9e07ab4047,TopHolder,0.0415
TopHolder #064,0x000000000000000000000000000000000000dead,TopHolder,12625.64295064181
TopHolder #065,0xdc919fe73d8fcf93fc74e71eda5a3e60ab7ed2a6,TopHolder,0.14954410116827255
TopHolder #066,0x75114f00928113880ffa0034647ee8df6a79b958,TopHolder,0.0
TopHolder #067,0xb432863b3857f1cd9d78f5856a8d20693a8bc1a0,TopHolder,78.81702450470533
TopHolder #068,0x579e5e1811b98cf608934ab6185d120c92fcbe7a,TopHolder,0.15686743151161409
TopHolder #069,0x0d0707963952f2fba59dd06f2b425ace40b492fe,TopHolder,14481.189642635449
TopHolder #070,0x8c24a6466aeee75e1cb3212bdae904fc260a492a,TopHolder,1.087793364080882
TopHolder #071,0x6d7f81fd14dca44fe0fe97ba80fb0ef5cfc0e9f8,TopHolder,0.001389166786138501
TopHolder #072,0x9a14aec27b873f59379c39b3e5241d5c6596f299,TopHolder,0.2049849698551401
TopHolder #073,0x4345c538e51a76dcde966d84743f05681af50141,TopHolder,0.022763874799647112
TopHolder #074,0x1070bc019b758a989d44c4ea161a756f2f66ff09,TopHolder,0.24427055831224576
TopHolder #075,0x5308c6d2581f6f33fe01e557d35d2bf3756f1e64,TopHolder,0.0
TopHolder #076,0x3aeeaee2ecff831b91a28375443dc6dcbb6f7d2d,TopHolder,0.0411629670528114
TopHolder #077,0xb7b63e238453f4dcbbe0b394b9361f2b9f683649,TopHolder,0.003018098123668907
TopHolder #078,0xec2b64f496060a86c4c021e979b662b4cb07fa53,TopHolder,0.17626721678540627
TopHolder #079,0xb09ac0f12b55ee5b2c0dd8c69a7b7fc1cae2dae1,TopHolder,0.2623160728006123
TopHolder #080,0x7fbabb1dd5a4aee41c273178cd98d702c23ad4d6,TopHolder,0.003462257500601503
TopHolder #081,0x39ed671ab729138e72ad218f493295078990021c,TopHolder,205.09065951176115
TopHolder #082,0x027c23402fbfc29ea8fdb1b665c8917070f2e5a2,TopHolder,0.040018872553929885
TopHolder #083,0x46340b20830761efd32832a74d7169b29feb9758,TopHolder,19100.92835825293
TopHolder #084,0xc11fbfbc5afb9c8bbb3da1189a11485dfe3c9dd4,TopHolder,1.9988
TopHolder #085,0x92ea7496eba5f001d620005f88f3e8e686e3d4ea,TopHolder,4393.660904661081
TopHolder #086,0x521aa1ba5819f24aeb9b968319788cd7c3325719,TopHolder,0.0
TopHolder #087,0x084313e68cf55b9f3055ecca4b7c19c09a33da1d,TopHolder,24.576657400912378
TopHolder #088,0xdfaf4474fff90254a4acb1a3ab560ea783f5003d,TopHolder,0.150414839323258
TopHolder #089,0xa4893a3520318c6a722c312245f9775dbb148c6c,TopHolder,0.024099793347939834
TopHolder #090,0xef1bbd864ea673f040cf0adf6a19b985cdb5d660,TopHolder,1.825628826e-06
TopHolder #091,0x4cfe5d3eb4acc553ed66a1782a0ef30f0f27eb2d,TopHolder,0.09937206571761395
TopHolder #092,0xfb5aa42af50e0e92d008b159380ba92f9e9299cd,TopHolder,0.09923814105308985
TopHolder #093,0x1eef123acb7f22e57f22602a7764b12057d61f4b,TopHolder,0.15995988289455693
TopHolder #094,0x9f17203888dc74360c838bc906ce44d9f913e932,TopHolder,500.32715256500313
TopHolder #095,0xd608e1c1ff2448dc4dc96a0938a5485f92e0f661,TopHolder,0.06672720563539104
TopHolder #096,0x6d4beb94f60ec025e64a375a7df00980afc34bde,TopHolder,0.003050578137335664
TopHolder #097,0x9e36c4bad731da4497035452607dcf117f8424f0,TopHolder,0.14145013523533528
TopHolder #098,0xfa3faf233114421e8a4e1f8141cfed02fb1ead5c,TopHolder,3.5013317088656004
TopHolder #099,0x2672023032b4f4bd7b8cf32eb39d0f8dbed127ff,TopHolder,0.010608164841114253
TopHolder #100,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,TopHolder,197.04972164
